VEHICLE_TAG,REPORT_TIME,PATTERN_MEASURE,PATTERN_OFFSET,TRIP_TAG,PATTERN_NAME,ROUTE,PATTERN_MEASURE_1,TRAPEZE_PATTERN_NAME,REPORT_HOUR,REPORT_MINUTE,LONGITUDE,LATITUDE
"5430","2/5/2015 6:18:08. AM","5623.0078254866","0.520559616069161","6542401","24___I_F00","24","5623.0078254866","24   I F00","6","18","-122.43395","37.74976"
"5414","2/5/2015 6:18:50. AM","10157.5206094004","0.135253460781854","6542400","24___I_F00","24","10157.5206094004","24   I F00","6","18","-122.44084","37.79001"
"5463","2/5/2015 6:18:55. AM","859.486075009473","-6.37390708715593","6542402","24___I_F00","24","859.486075009473","24   I F00","6","18","-122.39637","37.73715"
"5414","2/5/2015 6:19:23. AM","10328.4246031896","0.35518180729572","6542400","24___I_F00","24","10328.4246031896","24   I F00","6","19","-122.44115","37.79153"
"5430","2/5/2015 6:20:00. AM","6006.91159478681","-1.73171843101561","6542401","24___I_F00","24","6006.91159478681","24   I F00","6","20","-122.43426","37.75321"
"5463","2/5/2015 6:20:02. AM","1264.02142946574","-1.17780691616904","6542402","24___I_F00","24","1264.02142946574","24   I F00","6","20","-122.40014","37.73923"
"5435","2/5/2015 6:20:30. AM","10713.9306830867","-0.229907172332035","6542314","24___I_F00","24","10713.9306830867","24   I F00","6","20","-122.39162","37.73438"
"5414","2/5/2015 6:20:32. AM","10582.9254506614","3.26914772892483","6542400","24___I_F00","24","10582.9254506614","24   I F00","6","20","-122.43844","37.792"
"5463","2/5/2015 6:20:52. AM","1687.93377472264","-7.36156109795161","6542402","24___I_F00","24","1687.93377472264","24   I F00","6","20","-122.40458","37.7387"
"5430","2/5/2015 6:20:55. AM","6401.85155059973","-4.70619507768385","6542401","24___I_F00","24","6401.85155059973","24   I F00","6","20","-122.43456","37.75676"
"5435","2/5/2015 6:21:24. AM","0","16.8904087931648","6542403","24___I_F00","24","0","24   I F00","6","21","-122.39096","37.73405"
"5414","2/5/2015 6:21:48. AM","10847.5319960659","0.746826879543793","6542400","24___I_F00","24","10847.5319960659","24   I F00","6","21","-122.43547","37.79236"
"5430","2/5/2015 6:21:52. AM","6801.16103938372","-8.08906516376447","6542401","24___I_F00","24","6801.16103938372","24   I F00","6","21","-122.43486","37.76035"
